TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionHour,TransactionAmountKategori,AmountToBalanceRatio,AmountPerLogin,TimeOfDay,Cluster
15.949999999999989,2023-04-11 16:29:14,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,16.0,Rendah,0.0031199813779161645,15.94999998405001,2.0,3
376.24,2023-06-27 16:44:19,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,16.0,Tinggi,0.0273451894081706,376.23999962375996,2.0,2
126.28999999999999,2023-07-10 18:16:08,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.3499999999995,2024-11-04 08:07:04,18.0,Sedang,0.11252283155868266,126.28999987370997,2.0,1
184.5,2023-05-05 16:32:11,Debit,Raleigh,Online,26.0,Student,24.999999999999986,1.0,8569.06,2024-11-04 08:09:06,16.0,Sedang,0.021530949719103215,184.4999998155,2.0,0
15.949999999999989,2023-10-16 17:51:24,Credit,Atlanta,Online,26.0,Student,198.0,1.0,7429.4,2024-11-04 08:06:39,17.0,Rendah,0.0021468759253772673,15.94999998405001,2.0,0
92.15,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,17.0,Sedang,0.11788711493179062,92.14999990785,2.0,1
15.949999999999989,2023-02-15 16:36:48,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,2024-11-04 08:10:09,16.0,Rendah,0.0011977432864422877,15.94999998405001,2.0,2
171.42,2023-05-08 17:47:59,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,2024-11-04 08:10:55,17.0,Sedang,0.06130375075098657,171.41999982857996,2.0,1
106.23000000000002,2023-03-21 16:59:46,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,2024-11-04 08:11:14,16.0,Sedang,0.01167986419120412,106.22999989377001,2.0,0
806.97,2023-03-31 16:06:57,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8799999999997,2024-11-04 08:06:32,16.0,Sangat Tinggi,0.78969154890908,806.9699991930299,2.0,1
